,Phrase1,Phrase2
376,ions.md,suspensions.md
377,ions.md,Taoists traditions.md
378,world.md,the ancient world.md
379,sciences.md,the atmospheric sciences.md
380,physical sciences.md,the bridge between the human and the physical sciences.md
381,sciences.md,the bridge between the human and the physical sciences.md
382,buildings.md,the building and decoration of church buildings.md
383,Cold War.md,The Cold War.md
384,Moon.md,the Moon.md
385,Solar System.md,the Solar System.md
386,light.md,the speed of light.md
387,discipline.md,the world discipline.md
388,physicist.md,Theoretical astrophysicist.md
389,computer science.md,theoretical computer science.md
390,science.md,theoretical computer science.md
391,planetary science.md,theoretical planetary science.md
392,science.md,theoretical planetary science.md
393,chemistry.md,Thermochemistry.md
394,trash.md,time-modified trash.md
395,sphere.md,troposphere.md
396,ls.md,tunnels.md
397,mind.md,unconscious mind.md
398,conscious phenomena.md,unconscious phenomena.md
399,phenomena.md,unconscious phenomena.md
400,ions.md,unique adaptations.md
401,light.md,visible light.md
402,ions.md,vivisections.md
403,ice.md,water ice.md
404,light.md,wave model of light.md
405,Roman Empire.md,Western Roman Empire.md
406,1.mp4.md,14_Differential_equations_a_tourists_guide__DE1.mp4.md
407,1.mp4.md,14_Differential_equations_a_tourists_guide__DE1.mp4.md
408,1.mp4.md,14_Differential_equations_a_tourists_guide__DE1.mp4.md
409,6.mp4.md,15_How_(and_why)_to_raise_e_to_the_power_of_a_matrix__DE6.mp4.md
410,6.mp4.md,15_How_(and_why)_to_raise_e_to_the_power_of_a_matrix__DE6.mp4.md
411,4.mp4.md,1_But_what_is_a_Fourier_series__From_heat_flow_to_drawing_with_circles__DE4.mp4.md
412,4.mp4.md,1_But_what_is_a_Fourier_series__From_heat_flow_to_drawing_with_circles__DE4.mp4.md
413,1.mp4.md,1_MIT_Introduction_to_Deep_Learning__6S191.mp4.md
414,1.mp4.md,1_MIT_Introduction_to_Deep_Learning__6S191.mp4.md
415,1.mp4.md,1_MIT_Introduction_to_Deep_Learning__6S191.mp4.md
416,1.mp4.md,33_Barack_Obama_Intro_to_Deep_Learning__MIT_6S191.mp4.md
417,1.mp4.md,33_Barack_Obama_Intro_to_Deep_Learning__MIT_6S191.mp4.md
418,1.mp4.md,33_Barack_Obama_Intro_to_Deep_Learning__MIT_6S191.mp4.md
419,1.mp4.md,11.mp4.md
420,1.mp4.md,11.mp4.md
421,1.mp4.md,11.mp4.md
422,2.mp4.md,12.mp4.md
423,2.mp4.md,12.mp4.md
424,2.mp4.md,12.mp4.md
425,3.mp4.md,13.mp4.md
426,3.mp4.md,13.mp4.md
427,4.mp4.md,14.mp4.md
428,4.mp4.md,14.mp4.md
429,5.mp4.md,15.mp4.md
430,5.mp4.md,15.mp4.md
431,6.mp4.md,16.mp4.md
432,6.mp4.md,16.mp4.md
433,7.mp4.md,17.mp4.md
434,7.mp4.md,17.mp4.md
435,8.mp4.md,18.mp4.md
436,8.mp4.md,18.mp4.md
437,9.mp4.md,19.mp4.md
438,9.mp4.md,19.mp4.md
439,1.mp4.md,21.mp4.md
440,1.mp4.md,21.mp4.md
441,1.mp4.md,21.mp4.md
442,2.mp4.md,22.mp4.md
443,2.mp4.md,22.mp4.md
444,2.mp4.md,22.mp4.md
445,3.mp4.md,23.mp4.md
446,3.mp4.md,23.mp4.md
447,4.mp4.md,24.mp4.md
448,4.mp4.md,24.mp4.md
449,10.mp4.md,10_Stemming_and_Lemmatization_NLP_Tutorial_For_Beginners_-_10.mp4.md
450,10.mp4.md,10_Stemming_and_Lemmatization_NLP_Tutorial_For_Beginners_-_10.mp4.md
451,10.mp4.md,10_Stemming_and_Lemmatization_NLP_Tutorial_For_Beginners_-_10.mp4.md
452,1.mp4.md,11_Part_Of_Speech_POS_Tagging_NLP_Tutorial_For_Beginners_-_11.mp4.md
453,11.mp4.md,11_Part_Of_Speech_POS_Tagging_NLP_Tutorial_For_Beginners_-_11.mp4.md
454,1.mp4.md,11_Part_Of_Speech_POS_Tagging_NLP_Tutorial_For_Beginners_-_11.mp4.md
455,11.mp4.md,11_Part_Of_Speech_POS_Tagging_NLP_Tutorial_For_Beginners_-_11.mp4.md
456,1.mp4.md,11_Part_Of_Speech_POS_Tagging_NLP_Tutorial_For_Beginners_-_11.mp4.md
457,11.mp4.md,11_Part_Of_Speech_POS_Tagging_NLP_Tutorial_For_Beginners_-_11.mp4.md
458,12.mp4.md,12_Named_Entity_Recognition_(NER)_NLP_Tutorial_For_Beginners_-_12.mp4.md
459,2.mp4.md,12_Named_Entity_Recognition_(NER)_NLP_Tutorial_For_Beginners_-_12.mp4.md
460,12.mp4.md,12_Named_Entity_Recognition_(NER)_NLP_Tutorial_For_Beginners_-_12.mp4.md
461,2.mp4.md,12_Named_Entity_Recognition_(NER)_NLP_Tutorial_For_Beginners_-_12.mp4.md
462,12.mp4.md,12_Named_Entity_Recognition_(NER)_NLP_Tutorial_For_Beginners_-_12.mp4.md
463,2.mp4.md,12_Named_Entity_Recognition_(NER)_NLP_Tutorial_For_Beginners_-_12.mp4.md
464,13.mp4.md,13_Text_Representation_Basics_NLP_Tutorial_For_Beginners_-_13.mp4.md
465,13.mp4.md,13_Text_Representation_Basics_NLP_Tutorial_For_Beginners_-_13.mp4.md
466,3.mp4.md,13_Text_Representation_Basics_NLP_Tutorial_For_Beginners_-_13.mp4.md
467,13.mp4.md,13_Text_Representation_Basics_NLP_Tutorial_For_Beginners_-_13.mp4.md
468,3.mp4.md,13_Text_Representation_Basics_NLP_Tutorial_For_Beginners_-_13.mp4.md
469,14.mp4.md,14_Text_Representation_Label_and_One_Hot_Encoding_NLP_Tutorial_For_Beginners_-_14.mp4.md
470,14.mp4.md,14_Text_Representation_Label_and_One_Hot_Encoding_NLP_Tutorial_For_Beginners_-_14.mp4.md
471,4.mp4.md,14_Text_Representation_Label_and_One_Hot_Encoding_NLP_Tutorial_For_Beginners_-_14.mp4.md
472,14.mp4.md,14_Text_Representation_Label_and_One_Hot_Encoding_NLP_Tutorial_For_Beginners_-_14.mp4.md
473,4.mp4.md,14_Text_Representation_Label_and_One_Hot_Encoding_NLP_Tutorial_For_Beginners_-_14.mp4.md
474,15.mp4.md,15_Text_Representation_Using_Bag_Of_Words_(BOW)_NLP_Tutorial_For_Beginners_-_15.mp4.md
475,15.mp4.md,15_Text_Representation_Using_Bag_Of_Words_(BOW)_NLP_Tutorial_For_Beginners_-_15.mp4.md
476,5.mp4.md,15_Text_Representation_Using_Bag_Of_Words_(BOW)_NLP_Tutorial_For_Beginners_-_15.mp4.md
477,15.mp4.md,15_Text_Representation_Using_Bag_Of_Words_(BOW)_NLP_Tutorial_For_Beginners_-_15.mp4.md
478,5.mp4.md,15_Text_Representation_Using_Bag_Of_Words_(BOW)_NLP_Tutorial_For_Beginners_-_15.mp4.md
479,16.mp4.md,16_Stop_Words_NLP_Tutorial_For_Beginners_-_16.mp4.md
480,16.mp4.md,16_Stop_Words_NLP_Tutorial_For_Beginners_-_16.mp4.md
481,6.mp4.md,16_Stop_Words_NLP_Tutorial_For_Beginners_-_16.mp4.md
482,16.mp4.md,16_Stop_Words_NLP_Tutorial_For_Beginners_-_16.mp4.md
483,6.mp4.md,16_Stop_Words_NLP_Tutorial_For_Beginners_-_16.mp4.md
484,17.mp4.md,17_Text_Representation_Using_Bag_Of_n-grams_NLP_Tutorial_For_Beginners_-_17.mp4.md
485,17.mp4.md,17_Text_Representation_Using_Bag_Of_n-grams_NLP_Tutorial_For_Beginners_-_17.mp4.md
486,7.mp4.md,17_Text_Representation_Using_Bag_Of_n-grams_NLP_Tutorial_For_Beginners_-_17.mp4.md
